GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing
MaybeShewill-CV/lanenet-lane-detection,Y,1114,148,3461,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MaybeShewill-CV/lanenet-lane-detection/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MaybeShewill-CV/lanenet-lane-detection/issues/419 and https://github.com/MaybeShewill-CV/lanenet-lane-detection/issues/410",https://github.com/MaybeShewill-CV/lanenet-lane-detection/blob/master/LICENSE is provided.,There are files related to testing.
mdeff/fma,N,1175,189,1451,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mdeff/fma/graphs/commit-activity shows there have been very few activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/mdeff/fma/issues/40 and https://github.com/mdeff/fma/issues/39",https://github.com/mdeff/fma/blob/master/LICENSE.txt,there is no evidence of any testing done on the project.
medipixel/rl_algorithms,Y,277,141,9130,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/medipixel/rl_algorithms/graphs/contributors shows that there are multiple contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/medipixel/rl_algorithms/blob/master/rl_algorithms/td3/agent.py and https://github.com/medipixel/rl_algorithms/blob/master/rl_algorithms/recurrent/learner.py and https://github.com/medipixel/rl_algorithms/blob/master/rl_algorithms/ppo/agent.py have appropriate docstrings",https://github.com/medipixel/rl_algorithms/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/medipixel/rl_algorithms/issues/254 and https://github.com/medipixel/rl_algorithms/issues/251",https://github.com/medipixel/rl_algorithms/blob/master/LICENSE.md,There are many files related to testing
MegviiDetection/video_analyst,Y,351,634,17656,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MegviiDetection/video_analyst/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MegviiDetection/video_analyst/issues/112 and https://github.com/MegviiDetection/video_analyst/issues/90",https://github.com/MegviiDetection/video_analyst/blob/master/LICENSE is provided.,There are files related to testing but everywhere
mesutpiskin/computer-vision-guide,N,198,101,964,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mesutpiskin/computer-vision-guide/graphs/commit-activity shows that there have been very few activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/mesutpiskin/computer-vision-guide/issues/1",https://github.com/mesutpiskin/computer-vision-guide/blob/master/LICENSE.en-US.md,there is no evidence of any testing done on the project.
MIC-DKFZ/nnUNet,Y,785,414,19324,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIC-DKFZ/nnUNet/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,Evidence of sustained commit activity but not last month,"The project maintainers respond to issues, as evidenced by https://github.com/MIC-DKFZ/nnUNet/issues/239 and https://github.com/MIC-DKFZ/nnUNet/issues/212",https://github.com/MIC-DKFZ/nnUNet/blob/master/LICENSE is provided.,Only managed to find 1 file related to testing
MIC-DKFZ/trixi,Y,196,635,6268,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIC-DKFZ/trixi/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MIC-DKFZ/trixi/issues/26 and https://github.com/MIC-DKFZ/trixi/issues/22",https://github.com/MIC-DKFZ/trixi/blob/develop/LICENSE is provided.,There are many files related to testing.
michaelhush/M-LOOP,Y,127,370,4091,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/michaelhush/M-LOOP/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/michaelhush/M-LOOP/blob/master/mloop/interfaces.py and https://github.com/michaelhush/M-LOOP/blob/master/mloop/controllers.py and https://github.com/michaelhush/M-LOOP/blob/master/mloop/neuralnet.py have appropriate docstrings",https://github.com/michaelhush/M-LOOP/graphs/commit-activity shows that there have been activities in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/michaelhush/M-LOOP/issues/40 and https://github.com/michaelhush/M-LOOP/issues/38",https://github.com/michaelhush/M-LOOP/blob/master/LICENSE.txt,There are many files related to testing
microsoft/AdaptiveCards,Y,745,2653,4318,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/microsoft/AdaptiveCards/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/AdaptiveCards/graphs/commit-activity shows that there have been a siginificant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/AdaptiveCards/issues/4311 and https://github.com/microsoft/AdaptiveCards/issues/4301",https://github.com/microsoft/AdaptiveCards/blob/main/LICENSE,there is no evidence of any testing done on the project.
microsoft/ai-edu,N,7874,506,25848,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/ai-edu/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/ai-edu/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/ai-edu/issues/501 and https://github.com/microsoft/ai-edu/issues/487",https://github.com/microsoft/ai-edu/blob/master/LICENSE.md,there is no evidence of any testing done on the project.
microsoft/botbuilder-python,Y,372,1382,40120,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/botbuilder-python/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-ai/botbuilder/ai/luis/luis_recognizer.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-applicationinsights/botbuilder/applicationinsights/application_insights_telemetry_client.py and https://github.com/microsoft/botbuilder-python/blob/master/libraries/botbuilder-core/botbuilder/core/activity_handler.py have appropriate docstrings",https://github.com/microsoft/botbuilder-python/graphs/commit-activity shows that there have been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/botbuilder-python/issues/1236 and https://github.com/microsoft/botbuilder-python/issues/1235",https://github.com/microsoft/botbuilder-python/blob/master/LICENSE,There are many files related to testing
microsoft/DeepSpeed,Y,2652,198,21773,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/microsoft/DeepSpeed/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/DeepSpeed/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/DeepSpeed/issues/279 and https://github.com/microsoft/DeepSpeed/issues/274",https://github.com/microsoft/DeepSpeed/blob/master/LICENSE,There are many files related to testing
microsoft/EdgeML,Y,840,858,21102,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/EdgeML/graphs/contributors shows there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/EdgeML/blob/master/pytorch/edgeml_pytorch/trainer/fastTrainer.py and https://github.com/microsoft/EdgeML/blob/master/tf/edgeml_tf/trainer/emirnnTrainer.py and https://github.com/microsoft/EdgeML/blob/master/tf/edgeml_tf/trainer/protoNNTrainer.py have appropriate docstrings",https://github.com/microsoft/EdgeML/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/EdgeML/issues/185 and https://github.com/microsoft/EdgeML/issues/184",https://github.com/microsoft/EdgeML/blob/master/License.txt,there is no evidence of any testing done on the project.
microsoft/forecasting,Y,1205,1218,3262,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/forecasting/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/forecasting/blob/master/fclib/fclib/models/dilated_cnn.py and https://github.com/microsoft/forecasting/blob/master/fclib/fclib/feature_engineering/feature_utils.py and https://github.com/microsoft/forecasting/blob/master/fclib/fclib/azureml/azureml_utils.py have appropriate docstrings",https://github.com/microsoft/forecasting/graphs/commit-activity shows that there have been some activities in the past few months with a few in the last month.,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/forecasting/issues/213 and https://github.com/microsoft/forecasting/issues/201",https://github.com/microsoft/forecasting/blob/master/LICENSE,There are many files related to testing
microsoft/hummingbird,Y,1247,130,12510,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/hummingbird/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/convert.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/operator_converters/skl_decision_tree.py and https://github.com/microsoft/hummingbird/blob/master/hummingbird/ml/ir_converters/topology.py have appropriate docstrings",https://github.com/microsoft/hummingbird/graphs/commit-activity shows that there have been few activities in the past few months with some activities in the last month.,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/hummingbird/issues/184 and https://github.com/microsoft/hummingbird/issues/181",https://github.com/microsoft/hummingbird/blob/master/LICENSE,There are many files related to testing
microsoft/MMdnn,Y,4752,1072,27835,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/MMdnn/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the some of the functions in https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/keras/extra_layers.py and https://github.com/microsoft/MMdnn/blob/master/mmdnn/conversion/paddle/paddle_parser.py have appropriate docstrings",https://github.com/microsoft/MMdnn/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/MMdnn/blob/master/LICENSE,There are many files related to testing
microsoft/nni,Y,6311,1530,56227,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/nni/graphs/contributors show that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the some of the functions in https://github.com/microsoft/nni/blob/master/src/nni_manager/training_service/remote_machine/gpuScheduler.ts and https://github.com/microsoft/nni/blob/master/src/nni_manager/training_service/remote_machine/remoteMachineData.ts have appropriate docstrings",https://github.com/microsoft/nni/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/nni/issues/2624 and https://github.com/microsoft/nni/issues/2613",https://github.com/microsoft/nni/blob/master/LICENSE,There are many files related to testing
microsoft/tf2-gnn,Y,188,147,4049,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/microsoft/tf2-gnn/graphs/contributors show that there are 3 contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/layers/gnn.py and https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/models/graph_task_model.py and https://github.com/microsoft/tf2-gnn/blob/master/tf2_gnn/layers/nodes_to_graph_representation.py have appropriate docstrings",https://github.com/microsoft/tf2-gnn/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,The author of the project does not reply to issues or close them.,https://github.com/microsoft/tf2-gnn/blob/master/LICENSE,There are many files related to testing
microsoft/Windows-Machine-Learning,Y,554,696,251,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/microsoft/Windows-Machine-Learning/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/microsoft/Windows-Machine-Learning/graphs/commit-activity shows there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/microsoft/MMdnn/issues/856 and https://github.com/microsoft/MMdnn/issues/853",https://github.com/microsoft/Windows-Machine-Learning/blob/master/LICENSE,There are many files related to testing
milvus-io/bootcamp,Y,226,693,25527,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/milvus-io/bootcamp/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/milvus-io/bootcamp/graphs/commit-activity show that there have been activities in the past few months,"The project maintainers respond to issues, as evidenced by https://github.com/milvus-io/bootcamp/issues/245 and https://github.com/milvus-io/bootcamp/issues/229",https://github.com/milvus-io/bootcamp/blob/master/LICENSE,there is no evidence of any testing done on the project.
mindsdb/mindsdb,Y,2718,1303,11835,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mindsdb/mindsdb/graphs/contributors shows that there are multiple contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mindsdb/mindsdb/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mindsdb/mindsdb/issues/560 and https://github.com/mindsdb/mindsdb/issues/550",https://github.com/mindsdb/mindsdb/blob/stable/LICENSE,There are many files related to testing
Mini-Conf/Mini-Conf,Y,311,117,352,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/Mini-Conf/Mini-Conf/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,Little evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/Mini-Conf/Mini-Conf/issues/61 and https://github.com/Mini-Conf/Mini-Conf/issues/59",https://github.com/Mini-Conf/Mini-Conf/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
MIPT-Oulu/solt,Y,249,369,4783,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MIPT-Oulu/solt/graphs/contributors shows that there are multiple contributors,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MIPT-Oulu/solt/issues/73 and https://github.com/MIPT-Oulu/solt/issues/59 but not often",https://github.com/MIPT-Oulu/solt/blob/master/LICENSE is provided.,There are files related to testing.
MisaOgura/flashtorch,Y,443,126,1210,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MisaOgura/flashtorch/graphs/contributors shows that there are 2 contributors but 2nd only contributed 1 commits,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MisaOgura/flashtorch/issues/23 and https://github.com/MisaOgura/flashtorch/issues/21",https://github.com/MisaOgura/flashtorch/blob/master/LICENSE is provided.,There are many files related to testing.
MITK/MITK,Y,318,40950,10,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MITK/MITK/graphs/contributors shows that there are multiple contributors,The project uses CTest from CMake,There is a well-maintained documentation,Evidence of sustained commit activity,Issues tab disabled but maintainers do respond to pull requests,https://github.com/MITK/MITK/blob/master/LICENSE is provided.,There are many files related to testing.
mittagessen/kraken,Y,247,1146,8098,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mittagessen/kraken/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mittagessen/kraken/blob/master/kraken/pageseg.py and https://github.com/mittagessen/kraken/blob/master/kraken/repo.py and https://github.com/mittagessen/kraken/blob/master/kraken/rpred.py have appropriate docstrings",https://github.com/mittagessen/kraken/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mittagessen/kraken/issues/214 and https://github.com/mittagessen/kraken/issues/209",https://github.com/mittagessen/kraken/blob/master/LICENSE,There are many files related to testing
mlflow/mlflow,Y,6694,1458,66316,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlflow/mlflow/graphs/contributors shows that there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/mlflow/mlflow/blob/master/mlflow/models/model.py and https://github.com/mlflow/mlflow/blob/master/mlflow/models/flavor_backend.py and https://github.com/mlflow/mlflow/blob/master/mlflow/tracking/fluent.py have appropriate docstrings",https://github.com/mlflow/mlflow/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/mlflow/mlflow/issues/3053 and https://github.com/mlflow/mlflow/issues/3052",https://github.com/mlflow/mlflow/blob/master/LICENSE.txt,There are many files related to testing
mljar/mljar-supervised,Y,290,325,12812,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,There are no contributors to the project other than the author,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mljar/mljar-supervised/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mljar/mljar-supervised/issues/110 and https://github.com/mljar/mljar-supervised/issues/109",https://github.com/mljar/mljar-supervised/blob/master/LICENSE,There are many files related to testing
mlmed/torchxrayvision,Y,128,118,4530,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlmed/torchxrayvision/graphs/contributors shows there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlmed/torchxrayvision/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlmed/torchxrayvision/issues/21 and https://github.com/mlmed/torchxrayvision/issues/13",https://github.com/mlmed/torchxrayvision/blob/master/LICENSE,One test file
mlperf/inference,N,288,913,26424,The source code of the project exists as ad-hoc scripts.,https://github.com/mlperf/inference/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mlperf/inference/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/mlperf/inference/issues/640 and https://github.com/mlperf/inference/issues/638",https://github.com/mlperf/inference/blob/master/LICENSE.md,There are many files related to testing
mlperf/training,N,978,242,42178,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mlperf/training/graphs/contributors shows that there are multiple contributors,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/imagenet_preprocessing.py and https://github.com/mlperf/training/blob/master/recommendation/pytorch/alias_generator.py and https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/resnet_model.py have appropriate docstrings",https://github.com/mlperf/training/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mlperf/training/issues/382 and https://github.com/mlperf/training/issues/373",https://github.com/mlperf/training/blob/master/LICENSE.md,there is no evidence of any testing done on the project.
mnicnc404/CartoonGan-tensorflow,N,353,339,1652,The source code of the project exists as ad-hoc scripts.,https://github.com/mnicnc404/CartoonGan-tensorflow/graphs/contributors shows there are 2 contributors only,CI is not used on the project,"There is a well-maintained README, and the majority of the functions in https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/imagenet_preprocessing.py and https://github.com/mlperf/training/blob/master/recommendation/pytorch/alias_generator.py and https://github.com/mlperf/training/blob/master/image_classification/tensorflow/official/resnet/resnet_model.py have appropriate docstrings",https://github.com/mnicnc404/CartoonGan-tensorflow/graphs/commit-activity shows that there are only 2 commits in the past.,"No longer maintained, there were issued closed like https://github.com/mnicnc404/CartoonGan-tensorflow/issues/36",https://github.com/mnicnc404/CartoonGan-tensorflow/blob/master/LICENSE,there is no evidence of any testing done on the project.
modernmt/modernmt,Y,192,3299,6163,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/modernmt/modernmt/graphs/contributors shows there are multiple contributors but mainly 1,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/modernmt/modernmt/graphs/commit-activity show that there have been significant amount of activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/modernmt/modernmt/issues/547 and https://github.com/modernmt/modernmt/issues/546",https://github.com/modernmt/modernmt/blob/master/LICENSE,There are many files related to testing
molecularsets/moses,Y,336,207,4587,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/molecularsets/moses/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/molecularsets/moses/graphs/commit-activity shows that there have been few activities in the past months.,"The project maintainers respond to issues, as evidenced by https://github.com/molecularsets/moses/issues/71 and https://github.com/molecularsets/moses/issues/69",https://github.com/molecularsets/moses/blob/master/LICENSE,There are files related to testing
mozilla/bugbug,Y,242,2830,19736,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mozilla/bugbug/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mozilla/bugbug/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/bugbug/issues/1642 and https://github.com/mozilla/bugbug/issues/1641",https://github.com/mozilla/bugbug/blob/master/LICENSE,There are many files related to testing
mozilla/DeepSpeech,Y,14213,2907,8581,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mozilla/DeepSpeech/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a README but someof the functions in the https://github.com/mozilla/DeepSpeech/blob/master/training/deepspeech_training/util/augmentations.py have docstrings,https://github.com/mozilla/DeepSpeech/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/DeepSpeech/issues?q=is%3Aissue+author%3Atilmankamp and https://github.com/mozilla/DeepSpeech/issues/3143",https://github.com/mozilla/DeepSpeech/blob/master/LICENSE,There are files related to testing
mozilla/fathom,Y,1863,1419,1690,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mozilla/fathom/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a README but most of the functions in https://github.com/mozilla/fathom/blob/master/fathom_fox/src/evaluate.js and https://github.com/mozilla/fathom/blob/master/fathom_fox/src/contentScript.js and https://github.com/mozilla/fathom/blob/master/fathom_fox/src/rulesets.js have appropriate docstrings,https://github.com/mozilla/fathom/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/fathom/issues/240 and https://github.com/mozilla/fathom/issues/238",https://github.com/mozilla/fathom/blob/master/LICENSE,There are files related to testing
mozilla/TTS,Y,2267,1381,20202,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/mozilla/TTS/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mozilla/TTS/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mozilla/TTS/issues/446 and https://github.com/mozilla/TTS/issues/443",https://github.com/mozilla/TTS/blob/master/LICENSE.txt,There are many files related to testing
mpariente/asteroid,Y,321,501,14811,The source code of this project has been organised into different modules in a way that shows the relationship between different files,https://github.com/mpariente/asteroid/graphs/contributors shows there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README and most of the functions in https://github.com/mpariente/asteroid/blob/master/asteroid/masknn/consistency.py and https://github.com/mpariente/asteroid/blob/master/asteroid/masknn/convolutional.py and https://github.com/mpariente/asteroid/blob/master/asteroid/engine/optimizers.py have appropriate docstrings,https://github.com/mpariente/asteroid/graphs/commit-activity shows that there have been some activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mpariente/asteroid/issues/161 and https://github.com/mpariente/asteroid/issues/158",https://github.com/mpariente/asteroid/blob/master/LICENSE,There are many files related to testing
mravanelli/pytorch-kaldi,N,1641,157,7147,The source code of the project exists as ad-hoc scripts.,https://github.com/mravanelli/pytorch-kaldi/graphs/contributors shows there are multiple contributors,CI is not used on the project,There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/mravanelli/pytorch-kaldi/graphs/commit-activity shows that there have been few activities in the past months.,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/mravanelli/pytorch-kaldi/issues/233",No license,there is no evidence of any testing done on the project.
MrGiovanni/ModelsGenesis,Y,278,178,1127,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MrGiovanni/ModelsGenesis/graphs/contributors shows that there are multiple contributors but mainly 1,The project uses Travis CI,There is a well-maintained documentation,No evidence of sustained commit activity in recent months,"The project maintainers respond to issues, as evidenced by https://github.com/MisaOgura/flashtorch/issues/23 and https://github.com/MisaOgura/flashtorch/issues/22",https://github.com/MrGiovanni/ModelsGenesis/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.
MycroftAI/mycroft-precise,Y,367,280,2375,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/MycroftAI/mycroft-precise/graphs/contributors shows that there are multiple contributors,The project uses Jenkins CI,There is a well-maintained documentation,Evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/MisaOgura/flashtorch/issues/23 and https://github.com/MisaOgura/flashtorch/issues/23",https://github.com/MycroftAI/mycroft-precise/blob/dev/LICENSE is provided.,There are many files related to testing.
namisan/mt-dnn,Y,1388,369,11048,The source code of this project has been organised into different modules in a way that shows the relationship between different files with ad hoc scripts,https://github.com/namisan/mt-dnn/graphs/contributors shows there are multiple contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but most of the functions in the source code are not documented.,https://github.com/namisan/mt-dnn/graphs/commit-activity shows that there have been activties in the past few months consistently,"The project maintainers respond to issues, not so actively, as evidenced by https://github.com/namisan/mt-dnn/issues/177 and https://github.com/namisan/mt-dnn/issues/174",https://github.com/namisan/mt-dnn/blob/master/LICENSE,There are files related to testing
